Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,81,41,381,48.65,0.000%,10.06543,130.97,4.04,13323.7
/1.5/162663299/storage/tabs?batch=true&commit=true-3,50,1491,204,2967,598.00,92.000%,4.26439,1.71,13.06,409.8
/docs/common/netcheck.gif-1,50,263,250,301,10.90,0.000%,4.41306,3.45,1.78,800.0
/u/1/webchannel/events?VER=8&SID=fs44GUDG9vsh_vfx89GM8A&RID=5082&AID=33&zx=cdn1ggezi74c&t=1-2,50,293,268,331,15.49,100.000%,4.30923,8.05,2.84,1914.0
/punctual/multi-watch/channel?VER=8&gsessionid=VyhGZS-JoAvapysVaFcUZQ_p52YBGeCEE2cfs-I1tgk&key=AIzaSyCIMH2ks6VPAfRC2lqU_Snz1Lo76XGdnlc&RID=rpc&SID=bpHnl7eAqA6TntDYH7FL1Q&AID=39&CI=0&TYPE=xmlhttp&zx=wfics5h6zqs3&t=3-4,50,305,270,453,49.07,0.000%,4.25062,1.92,2.96,462.0
/docs/common/netcheck.gif-6,50,73,65,105,7.61,0.000%,4.33915,3.39,1.75,800.0
/-7,50,75,40,272,72.12,0.000%,4.28229,21.09,3.72,5044.1
/docs/common/netcheck.gif-9,50,71,65,106,6.91,0.000%,4.27387,3.34,1.73,800.0
/u/1/_/DynamiteWebUi/idv/-10,50,105,93,146,12.39,0.000%,4.26330,8.49,2.18,2040.2
/dynamite/images/cleardot.gif-11,50,57,55,93,5.73,0.000%,4.27789,3.56,1.78,852.2
/u/1/webchannel/events?VER=8&SID=fs44GUDG9vsh_vfx89GM8A&RID=5083&AID=34&zx=1b5d8wty0q6s&t=1-12,50,100,80,140,11.91,100.000%,4.26112,7.96,3.60,1914.0
/embed/ZQQ_4lnab1c-15,50,379,355,505,29.82,0.000%,4.11726,117.55,1.99,29236.7
/embed/siCf8EW3_MA-14,50,141,128,163,8.23,0.000%,4.15144,114.17,2.23,28160.5
/embed/kZqQajj1oec-13,50,145,128,177,13.26,0.000%,4.15076,115.70,2.23,28544.5
/generate_204-16,50,56,54,67,3.34,0.000%,4.18375,0.75,1.79,184.0
/generate_204-17,50,55,54,59,1.04,0.000%,4.12677,0.74,1.76,184.0
/generate_204-18,50,56,54,70,3.14,0.000%,4.12439,0.74,1.76,184.0
/punctual/multi-watch/channel?VER=8&gsessionid=XQpx5hPciMwUyDz5ZkJoVxQ6wttpNMZQZy3ulNQZS84&key=AIzaSyCIMH2ks6VPAfRC2lqU_Snz1Lo76XGdnlc&RID=rpc&SID=o21hrjegJJi_R7VmToQhCA&AID=37&CI=0&TYPE=xmlhttp&zx=lb5gr0r46ok5&t=1-19,50,88,86,108,4.03,0.000%,4.11252,1.86,3.62,462.0
/docs/common/netcheck.gif-21,50,74,65,118,11.30,0.000%,4.11896,3.22,1.67,800.0
/ui/v1/icons/mail/images/cleardot.gif-22,50,78,65,152,22.17,0.000%,4.11896,3.23,1.71,804.0
/ui/v1/icons/mail/images/cleardot.gif-23,50,69,65,86,4.19,0.000%,4.05910,3.19,1.69,804.0
/$rpc/google.internal.waa.v1.Waa/Create-25,50,107,89,262,30.37,0.000%,4.04957,125.18,2.40,31653.5
/$rpc/google.internal.waa.v1.Waa/Create-26,50,37,29,80,10.57,0.000%,4.08797,126.44,2.43,31672.2
/$rpc/google.internal.waa.v1.Waa/Create-24,50,34,29,53,5.30,0.000%,4.08998,126.36,2.43,31636.2
/$rpc/google.internal.waa.v1.Waa/GenerateIT-27,50,19,17,24,1.58,0.000%,4.09534,3.26,7.65,816.4
/$rpc/google.internal.waa.v1.Waa/GenerateIT-28,50,20,17,27,1.76,0.000%,4.09534,3.32,7.20,829.8
/$rpc/google.internal.waa.v1.Waa/GenerateIT-29,50,21,17,34,4.15,0.000%,4.09534,3.30,7.33,825.2
/Info-30,50,59,40,380,64.97,0.000%,4.01865,22.46,3.45,5723.9
/generate_204-31,50,55,54,64,2.02,0.000%,4.02836,0.72,1.72,184.0
/generate_204-32,50,58,54,87,7.21,0.000%,4.02836,0.72,1.72,184.0
/generate_204-33,50,56,54,95,6.01,0.000%,4.02836,0.72,1.72,184.0
/api/stats/atr?ns=yt&el=embedded&cpn=fck-DMWWZoPuNX1d&ver=2&cmt=0&fs=0&rt=0&euri=https%3A%2F%2Ftunetown.azurewebsites.net%2F&lact=6213&cl=516646855&mos=0&volume=100&cbr=Firefox&cbrver=111.0&c=WEB_EMBEDDED_PLAYER&cver=1.20230314.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&epm=1&hl=en_US&cr=US&len=271&fexp=23858057%2C23983296%2C24004644%2C24007246%2C24080738%2C24135310%2C24169501%2C24255165%2C24415864%2C24436455%2C24439361%2C24443594%2C24447748%2C24450367%2C24456736%2C24470719%2C24481771%2C24482080%2C24483085%2C24493735%2C24495841%2C39323074&muted=0&docid=ZQQ_4lnab1c-34,50,76,69,223,22.01,0.000%,4.02285,1.91,12.56,485.0
/ui/v1/icons/mail/images/cleardot.gif-35,50,74,65,101,9.60,0.000%,3.95820,3.11,1.65,804.0
/1.5/162663299/storage/tabs?batch=true&commit=true-40,50,1363,296,3185,510.18,94.000%,3.56075,1.41,10.97,405.8
/vi/kZqQajj1oec/maxresdefault.jpg-39,50,358,338,463,23.74,0.000%,3.70425,210.01,1.50,58056.0
/vi/uD8d1KrDQcY/maxresdefault.jpg-36,50,137,125,163,10.74,0.000%,3.75714,317.35,1.52,86492.4
/vi/ZQQ_4lnab1c/maxresdefault.jpg-37,50,129,121,236,16.61,0.000%,3.76138,379.88,1.52,103418.4
/vi/siCf8EW3_MA/maxresdefault.jpg-38,50,132,119,289,25.71,0.000%,3.75545,352.00,1.52,95980.0
/punctual/multi-watch/channel?VER=8&gsessionid=9ygxndxkKL0Y4fednrJGhv0dUFccxWjkRcjPsPIERAM&key=AIzaSyCIMH2ks6VPAfRC2lqU_Snz1Lo76XGdnlc&RID=rpc&SID=JcaZElZN4XX_pHggfDsiLw&AID=36&CI=0&TYPE=xmlhttp&zx=7g4n0i4xixdu&t=1-41,50,88,86,98,1.93,0.000%,3.80691,1.72,3.35,462.0
/u/1/webchannel/events?VER=8&SID=fs44GUDG9vsh_vfx89GM8A&RID=5084&AID=34&zx=48e7o9u1wyrq&t=1-43,50,109,82,265,32.60,100.000%,3.80431,7.11,3.21,1914.0
/Info/Artists-45,50,92,39,353,82.33,0.000%,3.81913,19.84,3.33,5318.4
/Info/Albums-46,50,44,39,89,9.21,0.000%,3.86578,20.21,3.39,5352.9
/Info/Songs-47,50,48,40,215,25.11,0.000%,3.86608,19.81,3.39,5247.3
/1.5/162663299/storage/tabs?batch=true&commit=true-49,50,1450,473,2024,383.09,98.000%,3.42560,1.33,10.56,397.9
/Playback-48,50,57,40,195,36.31,0.000%,3.79680,19.11,3.31,5154.3
/embed/kZqQajj1oec-52,50,159,130,276,43.51,0.000%,3.76733,104.96,2.03,28529.1
/embed/siCf8EW3_MA-53,50,147,125,228,23.12,0.000%,3.77074,104.05,2.03,28257.1
/embed/uD8d1KrDQcY-50,50,157,138,306,23.79,0.000%,3.78530,104.31,2.04,28216.7
/embed/ZQQ_4lnab1c-51,50,146,126,250,19.96,0.000%,3.79507,106.79,2.04,28813.6
/embed/uD8d1KrDQcY-54,50,155,136,199,11.18,0.000%,3.83377,105.56,2.06,28195.0
/$rpc/google.internal.waa.v1.Waa/Create-55,50,46,31,184,20.61,0.000%,3.80575,117.70,2.26,31668.6
/$rpc/google.internal.waa.v1.Waa/Create-56,50,33,28,59,4.61,0.000%,3.80633,117.85,2.26,31705.6
/$rpc/google.internal.waa.v1.Waa/Create-57,50,33,28,51,5.35,0.000%,3.80662,117.74,2.26,31673.9
/$rpc/google.internal.waa.v1.Waa/Create-58,50,33,28,49,4.20,0.000%,3.80662,117.81,2.26,31691.4
/$rpc/google.internal.waa.v1.Waa/GenerateIT-59,50,20,18,25,1.83,0.000%,3.87747,3.10,7.24,819.3
/$rpc/google.internal.waa.v1.Waa/Create-60,50,45,27,192,42.00,0.000%,3.86458,119.58,2.29,31686.4
/$rpc/google.internal.waa.v1.Waa/GenerateIT-61,50,23,18,182,22.72,0.000%,3.82585,3.03,7.12,811.8
/$rpc/google.internal.waa.v1.Waa/GenerateIT-62,50,20,18,26,1.53,0.000%,3.82614,3.05,7.06,815.3
/$rpc/google.internal.waa.v1.Waa/GenerateIT-63,50,21,18,35,3.47,0.000%,3.82702,2.99,7.05,800.7
/$rpc/google.internal.waa.v1.Waa/GenerateIT-64,50,22,18,40,4.83,0.000%,3.83112,3.11,6.83,832.0
/generate_204-65,50,55,54,63,1.99,0.000%,3.82117,0.69,1.63,184.0
/generate_204-66,50,55,54,72,2.73,0.000%,3.82205,0.69,1.63,184.0
/generate_204-67,50,59,54,98,10.25,0.000%,3.82234,0.69,1.63,184.0
/generate_204-68,50,55,54,67,2.19,0.000%,3.87657,0.70,1.65,184.0
/generate_204-69,50,56,54,72,4.29,0.000%,3.87687,0.70,1.65,184.0
/docs/common/netcheck.gif-70,50,80,68,101,7.61,0.000%,3.81738,2.98,1.54,800.0
/1.5/162663299/storage/tabs?batch=true&commit=true-71,50,1706,69,2879,461.95,90.000%,3.81796,1.54,11.77,413.7
/vi/uD8d1KrDQcY/sddefault.jpg-72,50,104,77,246,50.58,0.000%,4.06504,132.61,1.58,33405.0
/dynamite/images/cleardot.gif-73,50,56,55,66,2.26,0.000%,4.07232,3.39,1.69,852.0
/Account/Login-75,50,40,22,173,43.19,0.000%,4.08297,19.57,3.58,4907.5
/u/1/webchannel/events?VER=8&SID=fs44GUDG9vsh_vfx89GM8A&RID=5085&AID=35&zx=glne7yv8mqf6&t=1-74,50,105,80,168,13.49,100.000%,3.99840,7.47,3.38,1914.0
/api/stats/atr?ns=yt&el=embedded&cpn=VQMGZ5YiMd3K9Svy&ver=2&cmt=0&fs=0&rt=0&euri=https%3A%2F%2Ftunetown.azurewebsites.net%2F&lact=4995&cl=516646855&mos=0&volume=100&cbr=Firefox&cbrver=111.0&c=WEB_EMBEDDED_PLAYER&cver=1.20230314.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&epm=1&hl=en_US&cr=US&len=232&fexp=23858057%2C23983296%2C24004644%2C24007246%2C24080738%2C24135310%2C24169501%2C24255165%2C24415864%2C24436455%2C24439361%2C24443594%2C24447748%2C24450367%2C24456736%2C24470719%2C24481771%2C24482080%2C24483085%2C24493735%2C24495841%2C39323074&muted=0&docid=uD8d1KrDQcY-76,50,71,69,82,2.30,0.000%,4.07266,1.93,12.81,485.0
/u/1/_/DynamiteWebUi/idv/-77,50,97,90,110,4.09,0.000%,4.06339,6.69,2.83,1684.8
/WuQZoHDpLlVIpcIhd9IQo-tkqOXDn_K1oKsXziGOONnLqdLKHLzpkYVys9YybRzn8jmOC_ak=s68-c-k-c0x00ffffff-no-rj-78,50,251,239,289,12.09,0.000%,4.01510,14.37,1.84,3664.0
/Account/LogIn-79,50,184,129,356,61.77,0.000%,4.03096,25.31,11.44,6428.4
/-80,50,47,40,188,21.16,0.000%,4.07564,21.38,6.16,5371.3
/embed/siCf8EW3_MA-81,50,141,129,181,10.46,0.000%,4.04531,111.35,2.18,28185.5
/embed/kZqQajj1oec-83,50,140,127,298,23.74,0.000%,4.07199,113.41,2.19,28519.6
/embed/ZQQ_4lnab1c-82,50,137,125,154,6.61,0.000%,4.06471,114.56,2.19,28859.8
/$rpc/google.internal.waa.v1.Waa/Create-84,50,41,28,128,21.08,0.000%,4.07764,126.07,2.42,31658.8
/$rpc/google.internal.waa.v1.Waa/Create-85,50,35,28,45,4.66,0.000%,4.07598,126.05,2.42,31668.5
/$rpc/google.internal.waa.v1.Waa/Create-86,50,34,28,53,5.07,0.000%,4.07232,125.87,2.42,31650.1
/$rpc/google.internal.waa.v1.Waa/GenerateIT-87,50,19,16,25,1.91,0.000%,4.07697,3.26,7.18,818.4
/punctual/multi-watch/channel-5,50,1648,93,64558,8999.13,0.000%,.65141,0.69,0.52,1088.6
/1.5/162663299/storage/tabs?batch=true&commit=true-88,50,1745,111,4706,623.17,88.000%,.65986,0.27,2.02,417.6
/$rpc/google.internal.waa.v1.Waa/GenerateIT-89,50,20,16,47,4.62,0.000%,.67505,0.54,1.05,825.2
/$rpc/google.internal.waa.v1.Waa/GenerateIT-90,50,37,17,169,43.39,0.000%,.67510,0.55,1.03,833.6
/generate_204-91,50,57,54,170,16.16,0.000%,.67373,0.12,0.29,184.0
/generate_204-92,50,55,54,61,1.46,0.000%,.67372,0.12,0.29,184.0
/generate_204-93,50,55,54,75,3.31,0.000%,.67373,0.12,0.29,184.0
/generate_204-94,50,55,54,67,1.88,0.000%,.67360,0.12,0.29,184.0
/generate_204-95,50,59,54,88,9.12,0.000%,.67440,0.12,0.29,184.0
/generate_204-96,50,55,54,60,1.63,0.000%,.67438,0.12,0.29,184.0
/generate_204-97,50,55,54,57,0.95,0.000%,.67437,0.12,0.29,184.0
/u/1/webchannel/events-44,50,126,82,201,24.69,100.000%,.67304,1.26,0.42,1914.0
/spreadsheets/d/1-3GK7tghLar2dFE4NXtmRGlk3ME_A1eGZ7NBGvJVu3A/bind-8,50,300,202,482,42.26,100.000%,.67015,1.06,0.67,1612.8
/generate_204-100,50,58,54,186,18.35,0.000%,.67245,0.12,0.29,184.0
/generate_204-101,50,55,54,59,0.97,0.000%,.67242,0.12,0.29,184.0
/generate_204-102,50,60,54,209,26.61,0.000%,.67137,0.12,0.29,184.0
/generate_204-103,50,58,54,183,17.98,0.000%,.67135,0.12,0.29,184.0
/Playback-104,50,67,39,256,51.28,0.000%,.66979,3.64,1.01,5571.9
/api/stats/atr?ns=yt&el=embedded&cpn=VL7nwMkl0ei7cAny&ver=2&cmt=0&fs=0&rt=0.001&euri=https%3A%2F%2Ftunetown.azurewebsites.net%2F&lact=9929&cl=516646855&mos=0&volume=100&cbr=Firefox&cbrver=111.0&c=WEB_EMBEDDED_PLAYER&cver=1.20230314.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&epm=1&hl=en_US&cr=US&len=377&fexp=23858057%2C23983296%2C24004644%2C24007246%2C24080738%2C24135310%2C24169501%2C24255165%2C24415864%2C24436455%2C24439361%2C24443594%2C24447748%2C24450367%2C24456736%2C24470719%2C24481771%2C24482080%2C24483085%2C24493735%2C24495841%2C39323074&muted=0&docid=siCf8EW3_MA-110,50,70,69,75,1.28,0.000%,.67095,0.32,2.13,485.0
/embed/kZqQajj1oec-108,50,152,131,280,37.01,0.000%,.66933,18.69,0.36,28591.0
/embed/ZQQ_4lnab1c-106,50,143,128,210,15.68,0.000%,.66934,18.85,0.36,28843.1
/embed/uD8d1KrDQcY-105,50,157,139,198,13.82,0.000%,.67078,18.47,0.36,28199.5
/embed/uD8d1KrDQcY-107,50,163,141,330,30.18,0.000%,.67005,18.45,0.36,28188.7
